version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status
2 381492071743 eni-0ef83208bb21095f9 88.218.193.198 172.31.17.14 36320 57598 6 1 44 1764302499 1764302530 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 147.185.133.43 172.31.17.14 50984 47100 6 1 44 1764302499 1764302530 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 176.65.134.6 172.31.17.14 64840 25565 6 1 48 1764302499 1764302530 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 54.239.28.168 172.31.17.14 443 35354 6 22 7324 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.57 172.31.17.14 123 49014 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.232.28.194 172.31.17.14 123 34306 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.56 59479 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.220.36.73 172.31.17.14 443 39546 6 18 5717 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.58 40683 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 53230 6 24 7416 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.56 172.31.17.14 123 36475 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 91.189.91.157 172.31.17.14 123 38221 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.95.49.216 172.31.17.14 123 59350 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 142.202.190.19 36640 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.56 172.31.17.14 123 59479 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.57 49014 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 142.202.190.19 172.31.17.14 123 36640 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 91.189.91.157 172.31.17.14 123 34022 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 172.232.28.194 34306 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 54.239.28.168 172.31.17.14 443 51236 6 23 7370 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 142.202.190.19 43214 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.58 172.31.17.14 123 58503 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.95.49.216 59350 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 91.189.91.157 38221 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 87.120.191.94 172.31.17.14 36591 34567 6 1 40 1764302529 1764302567 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 91.189.91.157 34022 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 165.227.41.21 172.31.17.14 51407 11434 6 1 44 1764302529 1764302567 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.188.57 172.31.17.14 443 59162 6 11 5497 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.95.49.216 53561 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.57 60286 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 35.203.210.166 172.31.17.14 52694 2013 6 1 44 1764302529 1764302567 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.56 43935 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.188.57 59162 443 6 12 1476 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.57 172.31.17.14 123 60286 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 162.216.150.152 172.31.17.14 55587 2220 6 1 44 1764302529 1764302567 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 54.239.28.168 51236 443 6 16 4864 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.58 58503 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 54.239.28.168 35354 443 6 16 4840 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.95.49.216 172.31.17.14 123 53561 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 53230 443 6 16 4864 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.56 172.31.17.14 123 43935 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.58 172.31.17.14 123 40683 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 142.202.190.19 172.31.17.14 123 43214 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.56 36475 123 17 1 76 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.220.36.73 39546 443 6 14 5350 1764302529 1764302567 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 91.189.91.157 54314 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 173.255.221.22 172.31.17.14 58434 2376 6 1 44 1764302530 1764302591 REJECT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.95.49.216 50521 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 142.202.190.19 172.31.17.14 123 38166 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.217.79.129 44382 443 6 14 4750 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 172.232.28.194 36847 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 98.87.175.149 172.31.17.14 443 38562 6 16 5377 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 44294 443 6 17 4880 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 172.232.28.194 44644 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.57 172.31.17.14 123 53480 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 54.239.28.168 172.31.17.14 443 35364 6 25 7462 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 54.239.28.168 35364 443 6 16 4864 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 91.189.91.157 172.31.17.14 123 54314 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 142.202.190.19 38166 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 185.125.190.56 172.31.17.14 123 32848 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.57 53480 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 55804 6 24 7468 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.186.168.123 36042 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.232.28.194 172.31.17.14 123 44644 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 13.220.36.73 39534 443 6 15 4671 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 98.87.174.139 33312 443 6 19 5013 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 98.87.175.149 172.31.17.14 443 41226 6 21 5966 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.190.56 32848 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 23.186.168.123 54740 123 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 52.46.150.99 60714 443 6 19 4996 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 172.31.17.14 185.125.188.59 46734 443 6 10 1398 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 13.217.79.129 172.31.17.14 443 44382 6 17 6994 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 23.186.168.123 172.31.17.14 123 36042 17 1 76 1764302530 1764302591 ACCEPT OK
2 381492071743 eni-0ef83208bb21095f9 52.46.150.99 172.31.17.14 443 60714 6 26 7560 1764302530 1764302591 ACCEPT OK
